run_id,adapter_id,repair_label,split,view,segment_type,segment,atr_enabled,model_risk_enabled,trade_count,trades_per_day,net_profit,profit_factor,win_rate,expectancy,max_closed_trade_drawdown,mfe_mean,mae_mean,realized_over_mfe_mean,mfe_capture_ratio,avg_model_risk_pct,avg_executed_lot,avg_open_sl_points,avg_open_tp_points,quality_flag,report_path
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,full_split,actual_routed_total,True,True,1433,7.8306010929,171.3700000000,1.0383766135,0.4836008374,0.1195882763,352.6700000000,6.2951037683,6.0321930914,-5.6005799675,0.0189970302,0.0063571719,0.0522490857,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_val.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,early,True,True,478,2.6120218579,79.5200000000,1.0669185650,0.4707112971,0.1663598326,154.6200000000,5.0467403766,4.8852219665,-5.1881771634,0.0329638183,0.0063571719,0.0522490857,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_val.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,mid,True,True,478,2.6120218579,91.4900000000,1.0602744599,0.4958158996,0.1914016736,188.8400000000,6.5914165272,6.1791242678,-4.9074492913,0.0290380183,0.0063571719,0.0522490857,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_val.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,late,True,True,477,2.6065573770,0.3600000000,1.0002046292,0.4842767296,0.0007547170,247.2800000000,7.2491503145,7.0343295597,-6.7204775491,0.0001041111,0.0063571719,0.0522490857,9085.9943511638,12720.3920916294,weak_segment_pf,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_val.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,full_split,actual_routed_total,True,True,1055,5.4102564103,479.2000000000,1.1423348016,0.5109004739,0.4542180095,190.2800000000,6.8706865403,6.4151104265,-3.0934437256,0.0661095521,0.0062223101,0.0491561181,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_oos.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,early,True,True,352,1.8051282051,70.3600000000,1.0711224325,0.5170454545,0.1998863636,159.0900000000,5.6981767045,5.4745346591,-3.5652562361,0.0350790040,0.0062223101,0.0491561181,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_oos.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,mid,True,True,352,1.8051282051,136.6200000000,1.1333749866,0.5000000000,0.3881250000,133.8600000000,6.3317281250,5.8265894886,-3.0745905420,0.0612984311,0.0062223101,0.0491561181,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_oos.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_control_thr57_mr03_wideatr_sd5,v64_control_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,late,True,True,351,1.8000000000,272.2200000000,1.2011824699,0.5156695157,0.7755555556,154.9500000000,8.5870307692,7.9485635328,-2.6501132255,0.0903170812,0.0062223101,0.0491561181,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_control_thr57_mr03_wideatr_sd5_rt_oos.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_closeflat_thr57_mr03_wideatr_sd5,v64_close_on_flat_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,full_split,actual_routed_total,True,True,1524,8.3278688525,-112.3600000000,0.9578215562,0.4835958005,-0.0737270341,206.7700000000,3.3116470472,3.3388961942,-4.9336577198,-0.0222629505,0.0063571719,0.0364851686,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_closeflat_thr57_mr03_wideatr_sd5_rt_val.htm
run57A_stage59d_source_lifecycle_or_demote_v1,s59d_v64_closeflat_thr57_mr03_wideatr_sd5,v64_close_on_flat_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,early,True,True,508,2.7759562842,-28.0400000000,0.9702265922,0.4468503937,-0.0551968504,143.4600000000,3.4731653543,3.4691037402,-5.1132703547,-0.0158923762,0.0063571719,0.0364851686,9085.9943511638,12720.3920916294,negative_or_flat_segment;weak_segment_pf,stages/59D_adapter_repair__source_lifecycle_or_demote/02_runs/run57A/mt5/reports/Project_Obsidian_Prime_v2_run57A_stage59d_source_lifecycle_or_demote_v1_s59d_v64_closeflat_thr57_mr03_wideatr_sd5_rt_val.htm
